Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","10u","C_0805_2012Metric",7.500000,22.300000,-90.000000,top
"C2","15p","C_0402_1005Metric",-4.300000,3.420000,90.000000,top
"C3","15p","C_0402_1005Metric",1.400000,3.500000,-90.000000,top
"C4","10u","C_0805_2012Metric",9.800000,22.300000,-90.000000,top
"C5","100n","C_0402_1005Metric",-3.900000,22.700000,90.000000,top
"C6","100n","C_0402_1005Metric",-2.500000,19.700000,90.000000,top
"C7","100n","C_0402_1005Metric",0.000000,6.740000,-90.000000,top
"C8","1u","C_0402_1005Metric",1.500000,19.710000,90.000000,top
"C9","100n","C_0402_1005Metric",-1.500000,19.700000,90.000000,top
"C10","1u","C_0402_1005Metric",2.500000,19.710000,90.000000,top
"C11","100n","C_0402_1005Metric",-6.700000,16.900000,180.000000,top
"C12","100n","C_0402_1005Metric",5.000000,12.000000,0.000000,top
"C13","100n","C_0402_1005Metric",-7.300000,12.000000,180.000000,top
"C14","100n","C_0402_1005Metric",-1.119000,6.740000,-90.000000,top
"C15","100n","C_0402_1005Metric",3.700000,16.900000,0.000000,top
"C16","100n","C_0402_1005Metric",3.700000,18.000000,0.000000,top
"C17","10u","C_0805_2012Metric",-13.600000,27.500000,90.000000,top
"J1","SPI0.6","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",-17.000000,14.500000,0.000000,top
"J2","SPI0.8","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",-17.000000,7.000000,0.000000,top
"J3","SPI1.13","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",-17.000000,-0.500000,0.000000,top
"D1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-8.000000,-1.500000,180.000000,top
"J4","I2C0","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",-18.100000,21.225000,0.000000,top
"J5","USB","PinHeader_1x04_P2.54mm_Vertical",3.800000,26.500000,-90.000000,top
"J6","B18","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",4.500000,-0.500000,90.000000,top
"J7","B19","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",9.900000,-0.500000,90.000000,top
"J8","B20","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",15.300000,-0.500000,90.000000,top
"J9","B21","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",8.900000,7.000000,90.000000,top
"J10","B22","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",14.400000,7.000000,90.000000,top
"J11","B23","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",19.800000,7.000000,90.000000,top
"J12","Breakout","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",17.000000,14.175000,180.000000,top
"LS1","PIEZO","Buzzer_Murata_PKMCS0909E",16.900000,23.100000,0.000000,top
"R1","1k","R_0402_1005Metric",-13.690000,25.000000,0.000000,top
"R2","10k","R_0402_1005Metric",-12.500000,23.600000,0.000000,top
"R3","27","R_0402_1005Metric",-0.500000,19.710000,-90.000000,top
"R4","27","R_0402_1005Metric",0.500000,19.710000,-90.000000,top
"R5","1k","R_0402_1005Metric",-2.300000,6.700000,-90.000000,top
"SW1","BOOT","SW_SPST_B3U-1000P",-9.600000,26.500000,180.000000,top
"SW2","RESET","SW_SPST_B3U-1000P",-1.500000,-1.800000,0.000000,top
"U1","AP2112K-3.3TRG1","SOT-23-5",8.600000,26.100000,-90.000000,top
"U2","W25Q128JVS","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",-8.000000,21.665000,-90.000000,top
"U3","RP2040","RP2040-QFN-56",-1.500000,13.225000,0.000000,top
"Y1","X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",-1.500000,3.450000,0.000000,top
